"",BBEX3.D.KRW.USD.CA.AA.000,BBEX3.D.KRW.USD.CA.AA.000_FLAGS
1990-05-29,709.20,
1990-05-30,709.70,
1990-05-31,709.50,
1990-06-01,708.50,
1990-06-02,708.70,
1990-06-03,.,No value available
1990-06-04,708.70,
1990-06-05,710.30,
1990-06-06,.,No value available
1990-06-07,710.90,
1990-06-08,711.50,
1990-06-09,712.30,
1990-06-10,.,No value available
1990-06-11,712.30,
1990-06-12,713.10,
1990-06-13,713.40,
1990-06-14,713.30,
1990-06-15,713.00,
1990-06-16,713.40,
1990-06-17,.,No value available
1990-06-18,713.40,
1990-06-19,713.90,
1990-06-20,713.70,
1990-06-21,713.30,
1990-06-22,713.40,
1990-06-23,714.00,
1990-06-24,.,No value available
1990-06-25,714.00,
1990-06-26,714.00,
1990-06-27,713.80,
1990-06-28,713.70,
1990-06-29,713.40,
1990-06-30,.,No value available
1990-07-01,.,No value available
1990-07-02,713.20,
1990-07-03,712.70,
1990-07-04,713.10,
1990-07-05,713.10,
1990-07-06,713.20,
1990-07-07,714.00,
1990-07-08,.,No value available
1990-07-09,714.00,
1990-07-10,714.70,
1990-07-11,714.60,
1990-07-12,714.10,
1990-07-13,713.20,
1990-07-14,713.20,
1990-07-15,.,No value available
1990-07-16,713.20,
1990-07-17,.,No value available
1990-07-18,713.10,
1990-07-19,712.80,
1990-07-20,712.60,
1990-07-21,712.80,
1990-07-22,.,No value available
1990-07-23,712.80,
1990-07-24,712.80,
1990-07-25,712.80,
1990-07-26,712.60,
1990-07-27,712.60,
1990-07-28,712.50,
1990-07-29,.,No value available
1990-07-30,712.50,
1990-07-31,712.30,
1990-08-01,711.30,
1990-08-02,710.70,
1990-08-03,710.60,
1990-08-04,711.50,
1990-08-05,.,No value available
1990-08-06,711.50,
1990-08-07,712.30,
1990-08-08,712.70,
1990-08-09,712.20,
1990-08-10,712.60,
1990-08-11,713.50,
1990-08-12,.,No value available
1990-08-13,713.50,
1990-08-14,714.30,
1990-08-15,.,No value available
1990-08-16,714.10,
1990-08-17,714.90,
1990-08-18,714.70,
1990-08-19,.,No value available
1990-08-20,714.70,
1990-08-21,713.80,
1990-08-22,713.40,
1990-08-23,712.70,
1990-08-24,712.90,
1990-08-25,713.10,
1990-08-26,.,No value available
1990-08-27,713.10,
1990-08-28,712.40,
1990-08-29,712.00,
1990-08-30,711.60,
1990-08-31,711.20,
1990-09-01,710.50,
1990-09-02,.,No value available
1990-09-03,710.50,
1990-09-04,710.60,
1990-09-05,711.30,
1990-09-06,712.20,
1990-09-07,713.00,
1990-09-08,713.50,
1990-09-09,.,No value available
1990-09-10,713.50,
1990-09-11,713.40,
1990-09-12,712.50,
1990-09-13,712.70,
1990-09-14,713.20,
1990-09-15,713.70,
1990-09-16,.,No value available
1990-09-17,713.70,
1990-09-18,713.70,
1990-09-19,712.80,
1990-09-20,712.30,
1990-09-21,712.40,
1990-09-22,712.40,
1990-09-23,.,No value available
1990-09-24,712.40,
1990-09-25,711.50,
1990-09-26,711.10,
1990-09-27,710.70,
1990-09-28,710.20,
1990-09-29,710.10,
1990-09-30,.,No value available
1990-10-01,.,No value available
1990-10-02,.,No value available
1990-10-03,.,No value available
1990-10-04,.,No value available
1990-10-05,710.10,
1990-10-06,711.00,
1990-10-07,.,No value available
1990-10-08,711.00,
1990-10-09,.,No value available
1990-10-10,711.10,
1990-10-11,711.50,
1990-10-12,711.70,
1990-10-13,712.40,
1990-10-14,.,No value available
1990-10-15,712.40,
1990-10-16,713.20,
1990-10-17,712.80,
1990-10-18,712.00,
1990-10-19,712.70,
1990-10-20,713.20,
1990-10-21,.,No value available
1990-10-22,713.20,
1990-10-23,713.20,
1990-10-24,714.10,
1990-10-25,713.70,
1990-10-26,712.90,
1990-10-27,712.00,
1990-10-28,.,No value available
1990-10-29,712.00,
1990-10-30,711.20,
1990-10-31,711.00,
1990-11-01,710.80,
1990-11-02,711.10,
1990-11-03,.,No value available
1990-11-04,.,No value available
1990-11-05,711.80,
1990-11-06,712.60,
1990-11-07,712.70,
1990-11-08,712.70,
1990-11-09,712.50,
1990-11-10,712.30,
1990-11-11,.,No value available
1990-11-12,712.30,
1990-11-13,712.30,
1990-11-14,711.70,
1990-11-15,711.20,
1990-11-16,710.90,
1990-11-17,.,No value available
1990-11-18,.,No value available
1990-11-19,711.40,
1990-11-20,711.40,
1990-11-21,711.60,
1990-11-22,711.90,
1990-11-23,711.80,
1990-11-24,711.20,
1990-11-25,.,No value available
1990-11-26,711.20,
1990-11-27,710.50,
1990-11-28,710.10,
1990-11-29,710.00,
1990-11-30,710.30,
1990-12-01,.,No value available
1990-12-02,.,No value available
1990-12-03,.,No value available
1990-12-04,709.60,
1990-12-05,710.40,
1990-12-06,711.20,
1990-12-07,711.50,
1990-12-08,712.10,
1990-12-09,.,No value available
1990-12-10,712.10,
1990-12-11,712.70,
1990-12-12,712.70,
1990-12-13,712.90,
1990-12-14,713.50,
1990-12-15,.,No value available
1990-12-16,.,No value available
1990-12-17,714.20,
1990-12-18,714.60,
1990-12-19,714.60,
1990-12-20,714.70,
1990-12-21,714.10,
1990-12-22,713.60,
1990-12-23,.,No value available
1990-12-24,713.60,
1990-12-25,.,No value available
1990-12-26,714.30,
1990-12-27,714.80,
1990-12-28,714.20,
1990-12-29,713.60,
1990-12-30,.,No value available
1990-12-31,713.60,
1991-01-01,.,No value available
1991-01-02,.,No value available
1991-01-03,713.90,
1991-01-04,713.20,
1991-01-05,713.90,
1991-01-06,.,No value available
1991-01-07,713.90,
1991-01-08,714.30,
1991-01-09,714.60,
1991-01-10,714.70,
1991-01-11,714.90,
1991-01-12,715.00,
1991-01-13,.,No value available
1991-01-14,715.00,
1991-01-15,715.50,
1991-01-16,715.70,
1991-01-17,715.70,
1991-01-18,715.80,
1991-01-19,716.10,
1991-01-20,.,No value available
1991-01-21,716.10,
1991-01-22,716.20,
1991-01-23,716.60,
1991-01-24,716.70,
1991-01-25,716.00,
1991-01-26,715.60,
1991-01-27,.,No value available
1991-01-28,715.60,
1991-01-29,716.00,
1991-01-30,716.40,
1991-01-31,716.20,
1991-02-01,715.90,
1991-02-02,716.60,
1991-02-03,.,No value available
1991-02-04,716.60,
1991-02-05,717.40,
1991-02-06,717.30,
1991-02-07,717.70,
1991-02-08,718.30,
1991-02-09,719.20,
1991-02-10,.,No value available
1991-02-11,719.20,
1991-02-12,719.60,
1991-02-13,718.70,
1991-02-14,.,No value available
1991-02-15,.,No value available
1991-02-16,.,No value available
1991-02-17,.,No value available
1991-02-18,718.20,
1991-02-19,718.50,
1991-02-20,719.40,
1991-02-21,718.80,
1991-02-22,719.20,
1991-02-23,720.10,
1991-02-24,.,No value available
1991-02-25,720.10,
1991-02-26,721.00,
1991-02-27,721.60,
1991-02-28,721.60,
1991-03-01,.,No value available
1991-03-02,721.40,
1991-03-03,.,No value available
1991-03-04,721.40,
1991-03-05,722.10,
1991-03-06,722.10,
1991-03-07,721.90,
1991-03-08,722.00,
1991-03-09,722.00,
1991-03-10,.,No value available
1991-03-11,722.00,
1991-03-12,722.20,
1991-03-13,722.40,
1991-03-14,722.30,
1991-03-15,722.10,
1991-03-16,722.50,
1991-03-17,.,No value available
1991-03-18,722.50,
1991-03-19,722.90,
1991-03-20,723.10,
1991-03-21,722.80,
1991-03-22,722.30,
1991-03-23,722.60,
1991-03-24,.,No value available
1991-03-25,722.60,
1991-03-26,.,No value available
1991-03-27,722.80,
1991-03-28,722.40,
1991-03-29,721.70,
1991-03-30,721.90,
1991-03-31,.,No value available
1991-04-01,721.90,
1991-04-02,722.10,
1991-04-03,722.40,
1991-04-04,722.40,
1991-04-05,.,No value available
1991-04-06,722.80,
1991-04-07,.,No value available
1991-04-08,722.80,
1991-04-09,723.20,
1991-04-10,723.20,
1991-04-11,722.90,
1991-04-12,722.90,
1991-04-13,723.20,
1991-04-14,.,No value available
1991-04-15,723.20,
1991-04-16,723.50,
1991-04-17,723.10,
1991-04-18,722.20,
1991-04-19,722.00,
1991-04-20,722.60,
1991-04-21,.,No value available
1991-04-22,722.60,
1991-04-23,723.30,
1991-04-24,722.90,
1991-04-25,722.10,
1991-04-26,721.90,
1991-04-27,721.90,
1991-04-28,.,No value available
1991-04-29,721.90,
1991-04-30,722.20,
1991-05-01,721.70,
1991-05-02,721.70,
1991-05-03,720.80,
1991-05-04,.,No value available
1991-05-05,.,No value available
1991-05-06,720.20,
1991-05-07,720.70,
1991-05-08,721.40,
1991-05-09,721.60,
1991-05-10,723.10,
1991-05-11,724.00,
1991-05-12,.,No value available
1991-05-13,724.00,
1991-05-14,724.60,
1991-05-15,724.90,
1991-05-16,723.80,
1991-05-17,722.70,
1991-05-18,722.50,
1991-05-19,.,No value available
1991-05-20,722.50,
1991-05-21,.,No value available
1991-05-22,723.00,
1991-05-23,723.80,
1991-05-24,723.10,
1991-05-25,722.20,
1991-05-26,.,No value available
1991-05-27,722.20,
1991-05-28,722.20,
1991-05-29,721.60,
1991-05-30,720.40,
1991-05-31,720.20,
1991-06-01,.,No value available
1991-06-02,.,No value available
1991-06-03,719.80,
1991-06-04,721.00,
1991-06-05,723.10,
1991-06-06,.,No value available
1991-06-07,722.90,
1991-06-08,723.10,
1991-06-09,.,No value available
1991-06-10,723.10,
1991-06-11,724.10,
1991-06-12,723.60,
1991-06-13,722.10,
1991-06-14,721.20,
1991-06-15,720.50,
1991-06-16,.,No value available
1991-06-17,720.50,
1991-06-18,722.60,
1991-06-19,722.60,
1991-06-20,.,No value available
1991-06-21,722.20,
1991-06-22,723.50,
1991-06-23,.,No value available
1991-06-24,723.50,
1991-06-25,725.60,
1991-06-26,726.30,
1991-06-27,724.50,
1991-06-28,721.80,
1991-06-29,.,No value available
1991-06-30,.,No value available
1991-07-01,720.30,
1991-07-02,722.30,
1991-07-03,724.50,
1991-07-04,725.90,
1991-07-05,725.90,
1991-07-06,726.70,
1991-07-07,.,No value available
1991-07-08,726.70,
1991-07-09,727.40,
1991-07-10,728.30,
1991-07-11,728.50,
1991-07-12,728.70,
1991-07-13,728.60,
1991-07-14,.,No value available
1991-07-15,728.60,
1991-07-16,729.00,
1991-07-17,.,No value available
1991-07-18,728.70,
1991-07-19,728.40,
1991-07-20,.,No value available
1991-07-21,.,No value available
1991-07-22,728.40,
1991-07-23,727.70,
1991-07-24,726.60,
1991-07-25,724.20,
1991-07-26,722.20,
1991-07-27,722.60,
1991-07-28,.,No value available
1991-07-29,722.60,
1991-07-30,723.30,
1991-07-31,723.20,
1991-08-01,722.90,
1991-08-02,723.60,
1991-08-03,723.80,
1991-08-04,.,No value available
1991-08-05,723.80,
1991-08-06,725.10,
1991-08-07,725.20,
1991-08-08,725.10,
1991-08-09,725.90,
1991-08-10,727.00,
1991-08-11,.,No value available
1991-08-12,727.00,
1991-08-13,729.30,
1991-08-14,731.00,
1991-08-15,.,No value available
1991-08-16,731.00,
1991-08-17,731.10,
1991-08-18,.,No value available
1991-08-19,731.10,
1991-08-20,731.50,
1991-08-21,730.70,
1991-08-22,728.30,
1991-08-23,727.90,
1991-08-24,729.00,
1991-08-25,.,No value available
1991-08-26,729.00,
1991-08-27,730.30,
1991-08-28,730.10,
1991-08-29,730.30,
1991-08-30,730.90,
1991-08-31,732.70,
1991-09-01,.,No value available
1991-09-02,731.20,
1991-09-03,731.40,
1991-09-04,735.40,
1991-09-05,735.00,
1991-09-06,734.60,
1991-09-07,735.80,
1991-09-08,.,No value available
1991-09-09,735.80,
1991-09-10,737.40,
1991-09-11,736.10,
1991-09-12,735.10,
1991-09-13,735.80,
1991-09-14,736.50,
1991-09-15,.,No value available
1991-09-16,736.50,
1991-09-17,736.70,
1991-09-18,732.90,
1991-09-19,730.90,
1991-09-20,733.20,
1991-09-21,.,No value available
1991-09-22,.,No value available
1991-09-23,.,No value available
1991-09-24,736.40,
1991-09-25,738.20,
1991-09-26,736.10,
1991-09-27,737.60,
1991-09-28,737.10,
1991-09-29,.,No value available
1991-09-30,737.10,
1991-10-01,737.20,
1991-10-02,738.70,
1991-10-03,.,No value available
1991-10-04,740.00,
1991-10-05,742.60,
1991-10-06,.,No value available
1991-10-07,742.60,
1991-10-08,746.40,
1991-10-09,746.40,
1991-10-10,746.00,
1991-10-11,746.20,
1991-10-12,745.50,
1991-10-13,.,No value available
1991-10-14,745.50,
1991-10-15,745.60,
1991-10-16,745.50,
1991-10-17,745.20,
1991-10-18,745.70,
1991-10-19,745.10,
1991-10-20,.,No value available
1991-10-21,745.10,
1991-10-22,743.80,
1991-10-23,743.70,
1991-10-24,745.50,
1991-10-25,745.80,
1991-10-26,745.90,
1991-10-27,.,No value available
1991-10-28,745.90,
1991-10-29,745.70,
1991-10-30,745.60,
1991-10-31,745.80,
1991-11-01,747.40,
1991-11-02,748.30,
1991-11-03,.,No value available
1991-11-04,748.30,
1991-11-05,748.70,
1991-11-06,747.20,
1991-11-07,747.00,
1991-11-08,747.80,
1991-11-09,747.60,
1991-11-10,.,No value available
1991-11-11,747.60,
1991-11-12,747.60,
1991-11-13,747.70,
1991-11-14,746.80,
1991-11-15,747.40,
1991-11-16,748.00,
1991-11-17,.,No value available
1991-11-18,748.00,
1991-11-19,748.40,
1991-11-20,.,No value available
1991-11-21,749.50,
1991-11-22,750.30,
1991-11-23,.,No value available
1991-11-24,.,No value available
1991-11-25,750.40,
1991-11-26,749.90,
1991-11-27,749.60,
1991-11-28,750.00,
1991-11-29,750.00,
1991-11-30,750.00,
1991-12-01,.,No value available
1991-12-02,750.00,
1991-12-03,749.90,
1991-12-04,749.70,
1991-12-05,750.10,
1991-12-06,750.60,
1991-12-07,750.50,
1991-12-08,.,No value available
1991-12-09,750.50,
1991-12-10,751.40,
1991-12-11,752.00,
1991-12-12,752.40,
1991-12-13,752.10,
1991-12-14,752.80,
1991-12-15,.,No value available
1991-12-16,752.80,
1991-12-17,753.50,
1991-12-18,753.70,
1991-12-19,753.70,
1991-12-20,753.90,
1991-12-21,754.20,
1991-12-22,.,No value available
1991-12-23,754.20,
1991-12-24,754.50,
1991-12-25,.,No value available
1991-12-26,.,No value available
1991-12-27,755.00,
1991-12-28,.,No value available
1991-12-29,.,No value available
1991-12-30,755.70,
1991-12-31,756.30,
1992-01-01,.,No value available
1992-01-02,.,No value available
1992-01-03,756.30,
1992-01-04,754.50,
1992-01-05,.,No value available
1992-01-06,754.50,
1992-01-07,754.80,
1992-01-08,756.50,
1992-01-09,757.10,
1992-01-10,758.10,
1992-01-11,757.90,
1992-01-12,.,No value available
1992-01-13,757.90,
1992-01-14,758.50,
1992-01-15,758.50,
1992-01-16,758.70,
1992-01-17,758.90,
1992-01-18,759.00,
1992-01-19,.,No value available
1992-01-20,759.00,
1992-01-21,759.20,
1992-01-22,759.80,
1992-01-23,760.00,
1992-01-24,760.10,
1992-01-25,760.00,
1992-01-26,.,No value available
1992-01-27,760.00,
1992-01-28,760.00,
1992-01-29,759.10,
1992-01-30,758.10,
1992-01-31,757.50,
1992-02-01,757.80,
1992-02-02,.,No value available
1992-02-03,.,No value available
1992-02-04,.,No value available
1992-02-05,.,No value available
1992-02-06,757.80,
1992-02-07,759.30,
1992-02-08,759.80,
1992-02-09,.,No value available
1992-02-10,759.80,
1992-02-11,760.50,
1992-02-12,760.50,
1992-02-13,759.90,
1992-02-14,759.80,
1992-02-15,760.80,
1992-02-16,.,No value available
1992-02-17,760.80,
1992-02-18,760.90,
1992-02-19,761.90,
1992-02-20,762.00,
1992-02-21,762.80,
1992-02-22,763.30,
1992-02-23,.,No value available
1992-02-24,763.30,
1992-02-25,763.60,
1992-02-26,762.40,
1992-02-27,762.70,
1992-02-28,763.20,
1992-02-29,763.60,
1992-03-01,.,No value available
1992-03-02,763.60,
1992-03-03,764.00,
1992-03-04,763.60,
1992-03-05,763.70,
1992-03-06,763.70,
1992-03-07,763.60,
1992-03-08,.,No value available
1992-03-09,763.60,
1992-03-10,.,No value available
1992-03-11,764.40,
1992-03-12,764.90,
1992-03-13,765.40,
1992-03-14,766.10,
1992-03-15,.,No value available
1992-03-16,766.10,
1992-03-17,766.80,
1992-03-18,766.50,
1992-03-19,767.80,
1992-03-20,768.80,
1992-03-21,768.70,
1992-03-22,.,No value available
1992-03-23,768.70,
1992-03-24,.,No value available
1992-03-25,769.20,
1992-03-26,769.40,
1992-03-27,769.40,
1992-03-28,769.80,
1992-03-29,.,No value available
1992-03-30,769.80,
1992-03-31,770.50,
1992-04-01,770.40,
1992-04-02,770.40,
1992-04-03,770.40,
1992-04-04,771.00,
1992-04-05,.,No value available
1992-04-06,771.00,
1992-04-07,772.30,
1992-04-08,772.80,
1992-04-09,773.70,
1992-04-10,.,No value available
1992-04-11,775.10,
1992-04-12,.,No value available
1992-04-13,775.10,
1992-04-14,775.70,
1992-04-15,776.00,
1992-04-16,775.90,
1992-04-17,775.10,
1992-04-18,773.00,
1992-04-19,.,No value available
1992-04-20,773.00,
1992-04-21,773.20,
1992-04-22,774.70,
1992-04-23,775.50,
1992-04-24,775.30,
1992-04-25,774.00,
1992-04-26,.,No value available
1992-04-27,774.00,
1992-04-28,774.40,
1992-04-29,774.70,
1992-04-30,774.20,
1992-05-01,773.80,
1992-05-02,773.90,
1992-05-03,.,No value available
1992-05-04,773.90,
1992-05-05,.,No value available
1992-05-06,776.00,
1992-05-07,777.70,
1992-05-08,777.80,
1992-05-09,778.10,
1992-05-10,.,No value available
1992-05-11,778.10,
1992-05-12,778.70,
1992-05-13,777.50,
1992-05-14,777.90,
1992-05-15,778.60,
1992-05-16,778.90,
1992-05-17,.,No value available
1992-05-18,778.90,
1992-05-19,780.00,
1992-05-20,778.70,
1992-05-21,778.30,
1992-05-22,779.30,
1992-05-23,780.10,
1992-05-24,.,No value available
1992-05-25,780.10,
1992-05-26,780.20,
1992-05-27,780.70,
1992-05-28,778.70,
1992-05-29,778.70,
1992-05-30,778.80,
1992-05-31,.,No value available
1992-06-01,778.80,
1992-06-02,780.40,
1992-06-03,781.50,
1992-06-04,781.70,
1992-06-05,782.60,
1992-06-06,.,No value available
1992-06-07,.,No value available
1992-06-08,783.00,
1992-06-09,782.90,
1992-06-10,782.40,
1992-06-11,784.10,
1992-06-12,784.60,
1992-06-13,.,No value available
1992-06-14,.,No value available
1992-06-15,784.60,
1992-06-16,784.90,
1992-06-17,785.60,
1992-06-18,786.20,
1992-06-19,786.70,
1992-06-20,786.70,
1992-06-21,.,No value available
1992-06-22,786.70,
1992-06-23,786.90,
1992-06-24,785.90,
1992-06-25,786.20,
1992-06-26,785.70,
1992-06-27,785.50,
1992-06-28,.,No value available
1992-06-29,.,No value available
1992-06-30,785.50,
1992-07-01,787.00,
1992-07-02,785.00,
1992-07-03,783.20,
1992-07-04,782.60,
1992-07-05,.,No value available
1992-07-06,782.60,
1992-07-07,783.70,
1992-07-08,783.10,
1992-07-09,783.40,
1992-07-10,783.50,
1992-07-11,784.00,
1992-07-12,.,No value available
1992-07-13,784.00,
1992-07-14,784.30,
1992-07-15,784.60,
1992-07-16,784.80,
1992-07-17,.,No value available
1992-07-18,783.30,
1992-07-19,.,No value available
1992-07-20,783.30,
1992-07-21,783.60,
1992-07-22,783.80,
1992-07-23,783.50,
